#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.1000D-01   0.1000D-01
#    number density nb   [cm^-3]:   0.5979D+23   0.5979D+23
#    mass array mb         [amu]:   0.5486D-03   0.2518D+01
#    mass array mb         [keV]:   0.5110D+03   0.2346D+07
#    charge array zb            :  -0.1000D+01   0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.4000D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.5979D+23  0.1000D-01  0.1000D-01  0.1498D+01  0.1498D+01  0.1650D+01  0.1107D+00
# ab  =  0.5446E+02  0.2500E+06
# etab=  0.3160E+00  0.3160E+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
    10   0.13333333E+03   0.6843061041266E-02   0.2885932751466E-03   0.6554467766119E-02
    11   0.14666667E+03   0.2091356906516E-01   0.2654945510902E-03   0.2064807451407E-01
    12   0.16000000E+03   0.3388662950643E-01   0.2459864309513E-03   0.3364064307547E-01
    13   0.17333333E+03   0.4553758599080E-01   0.2292791791957E-03   0.4530830681160E-01
    14   0.18666667E+03   0.5583405151057E-01   0.2148058896197E-03   0.5561924562095E-01
    15   0.20000000E+03   0.6484518808105E-01   0.2021236133719E-03   0.6464306446767E-01
    16   0.21333333E+03   0.7267782842416E-01   0.1909219645285E-03   0.7248690645963E-01
    17   0.22666667E+03   0.7944692982945E-01   0.1809514449978E-03   0.7926597838445E-01
    18   0.24000000E+03   0.8526413960139E-01   0.1720164491612E-03   0.8509212315223E-01
    19   0.25333333E+03   0.9023426392067E-01   0.1639605947497E-03   0.9007030332592E-01
    20   0.26666667E+03   0.9445405518960E-01   0.1566582824520E-03   0.9429739690715E-01
    21   0.28000000E+03   0.9801213019281E-01   0.1500063619337E-03   0.9786212383087E-01
    22   0.29333333E+03   0.1009889581043E+00   0.1439204491168E-03   0.1008450376552E+00
    23   0.30666667E+03   0.1034571806221E+00   0.1383298682330E-03   0.1033188507538E+00
    24   0.32000000E+03   0.1054819079229E+00   0.1331754733773E-03   0.1053487324495E+00
    25   0.33333333E+03   0.1071210992040E+00   0.1284072586094E-03   0.1069926919454E+00
    26   0.34666667E+03   0.1088355076421E+00   0.1239827976630E-03   0.1087115248444E+00
    27   0.36000000E+03   0.1099230268757E+00   0.1198653654837E-03   0.1098031615102E+00
    28   0.37333333E+03   0.1107257029811E+00   0.1160236334236E-03   0.1106096793477E+00
    29   0.38666667E+03   0.1112815697613E+00   0.1124303848278E-03   0.1111691393764E+00
    30   0.40000000E+03   0.1116238459107E+00   0.1090617865841E-03   0.1115147841241E+00
    31   0.41333333E+03   0.1117815082083E+00   0.1058970801048E-03   0.1116756111281E+00
    32   0.42666667E+03   0.1117799474256E+00   0.1029180489386E-03   0.1116770293767E+00
    33   0.44000000E+03   0.1116412343975E+00   0.1001084688489E-03   0.1115411259287E+00
    34   0.45333333E+03   0.1113847365460E+00   0.9745407379557E-04   0.1112872824722E+00
    35   0.46666667E+03   0.1110272860429E+00   0.9494208776387E-04   0.1109323439551E+00
    36   0.48000000E+03   0.1105836021000E+00   0.9256130324991E-04   0.1104910407967E+00
    37   0.49333333E+03   0.1100665094974E+00   0.9030142735946E-04   0.1099762080700E+00
    38   0.50666667E+03   0.1094872195709E+00   0.8815335396933E-04   0.1093990662169E+00
    39   0.52000000E+03   0.1088554636786E+00   0.8610880207912E-04   0.1087693548766E+00
    40   0.53333333E+03   0.1081797433204E+00   0.8416048081039E-04   0.1080955828396E+00
    41   0.54666667E+03   0.1074674519742E+00   0.8230153984181E-04   0.1073851504344E+00
    42   0.56000000E+03   0.1067250447572E+00   0.8052583571000E-04   0.1066445189215E+00
    43   0.57333333E+03   0.1059581132030E+00   0.7882792113044E-04   0.1058792852819E+00
    44   0.58666667E+03   0.1051715314343E+00   0.7720261237971E-04   0.1050943288219E+00
    45   0.60000000E+03   0.1043695292896E+00   0.7564541079033E-04   0.1042938838788E+00
    46   0.61333333E+03   0.1035557952678E+00   0.7415190107982E-04   0.1034816433667E+00
    47   0.62666667E+03   0.1027335061046E+00   0.7271832019103E-04   0.1026607877844E+00
    48   0.64000000E+03   0.1019054359038E+00   0.7134102992048E-04   0.1018340948739E+00
    49   0.65333333E+03   0.1010739731614E+00   0.7001667753676E-04   0.1010039564838E+00
    50   0.66666667E+03   0.1002411885035E+00   0.6874235819121E-04   0.1001724461453E+00
    51   0.68000000E+03   0.9940886148860E-01   0.6751507612407E-04   0.9934134641248E-01
    52   0.69333333E+03   0.9857853752093E-01   0.6633232418550E-04   0.9851220519675E-01
    53   0.70666667E+03   0.9775153331503E-01   0.6519173316324E-04   0.9768634158186E-01
    54   0.72000000E+03   0.9692897931074E-01   0.6409095402590E-04   0.9686488835672E-01
    55   0.73333333E+03   0.9611184741318E-01   0.6302800923769E-04   0.9604881940394E-01
    56   0.74666667E+03   0.9530095201511E-01   0.6200085993639E-04   0.9523895115518E-01
    57   0.76000000E+03   0.9449699450998E-01   0.6100774819564E-04   0.9443598676178E-01
    58   0.77333333E+03   0.9370055696257E-01   0.6004705291121E-04   0.9364050990966E-01
    59   0.78666667E+03   0.9291212606103E-01   0.5911705130013E-04   0.9285300900973E-01
    60   0.80000000E+03   0.9213210817313E-01   0.5821634648169E-04   0.9207389182664E-01
    61   0.81333333E+03   0.9136082955683E-01   0.5734359855202E-04   0.9130348595828E-01
    62   0.82666667E+03   0.9059855764996E-01   0.5649742045527E-04   0.9054206022950E-01
    63   0.84000000E+03   0.8984550024694E-01   0.5567668701271E-04   0.8978982355993E-01
    64   0.85333333E+03   0.8910181615842E-01   0.5488016604634E-04   0.8904693599238E-01
    65   0.86666667E+03   0.8836762375209E-01   0.5410683116648E-04   0.8831351692092E-01
    66   0.88000000E+03   0.8764300138526E-01   0.5335574199247E-04   0.8758964564327E-01
    67   0.89333333E+03   0.8692799501514E-01   0.5262579332216E-04   0.8687536922182E-01
    68   0.90666667E+03   0.8622262461211E-01   0.5191616808533E-04   0.8617070844403E-01
    69   0.92000000E+03   0.8552688439503E-01   0.5122601771429E-04   0.8547565837732E-01
    70   0.93333333E+03   0.8484074659868E-01   0.5055458369064E-04   0.8479019201499E-01
    71   0.94666667E+03   0.8416416627830E-01   0.4990101674680E-04   0.8411426526156E-01
    72   0.96000000E+03   0.8349708267285E-01   0.4926464887216E-04   0.8344781802398E-01
    73   0.97333333E+03   0.8283942079745E-01   0.4864484059854E-04   0.8279077595686E-01
    74   0.98666667E+03   0.8219109584717E-01   0.4804086459235E-04   0.8214305498257E-01
    75   0.10000000E+04   0.8155201060032E-01   0.4745215550074E-04   0.8150455844482E-01
    76   0.10133333E+04   0.8092206261543E-01   0.4687813417744E-04   0.8087518448125E-01
    77   0.10266667E+04   0.8030114064296E-01   0.4631831656231E-04   0.8025482232639E-01
    78   0.10400000E+04   0.7968912774270E-01   0.4577204073119E-04   0.7964335570197E-01
    79   0.10533333E+04   0.7908590350288E-01   0.4523888386799E-04   0.7904066461901E-01
    80   0.10666667E+04   0.7849134236295E-01   0.4471837297669E-04   0.7844662398997E-01
    81   0.10800000E+04   0.7790531696580E-01   0.4421005770861E-04   0.7786110690809E-01
    82   0.10933333E+04   0.7732769735909E-01   0.4371354895411E-04   0.7728398381013E-01
    83   0.11066667E+04   0.7675835139390E-01   0.4322835359497E-04   0.7671512304030E-01
    84   0.11200000E+04   0.7619714646669E-01   0.4275412613980E-04   0.7615439234055E-01
    85   0.11333333E+04   0.7564394955868E-01   0.4229053401894E-04   0.7560165902466E-01
    86   0.11466667E+04   0.7509862707852E-01   0.4183713248054E-04   0.7505678994604E-01
    87   0.11600000E+04   0.7456104514341E-01   0.4139363694356E-04   0.7451965150646E-01
    88   0.11733333E+04   0.7403107055982E-01   0.4095971731114E-04   0.7399011084251E-01
    89   0.11866667E+04   0.7350857237637E-01   0.4053506296939E-04   0.7346803731340E-01
    90   0.12000000E+04   0.7299341781287E-01   0.4011937669596E-04   0.7295329843617E-01
    91   0.12133333E+04   0.7248547746612E-01   0.3971243443053E-04   0.7244576503168E-01
    92   0.12266667E+04   0.7198462277829E-01   0.3931383682783E-04   0.7194530894146E-01
    93   0.12400000E+04   0.7149072650425E-01   0.3892338957419E-04   0.7145180311468E-01
    94   0.12533333E+04   0.7100366257392E-01   0.3854084222560E-04   0.7096512173170E-01
    95   0.12666667E+04   0.7052330746191E-01   0.3816595457094E-04   0.7048514150734E-01
    96   0.12800000E+04   0.7004953866140E-01   0.3779849611186E-04   0.7001174016528E-01
    97   0.12933333E+04   0.6958223617858E-01   0.3743824557420E-04   0.6954479793301E-01
    98   0.13066667E+04   0.6912128127481E-01   0.3708502514315E-04   0.6908419624967E-01
    99   0.13200000E+04   0.6866655801546E-01   0.3673855812275E-04   0.6862981945733E-01
   100   0.13333333E+04   0.6821795156683E-01   0.3639868636630E-04   0.6818155288047E-01
   101   0.13466667E+04   0.6777534991674E-01   0.3606522114305E-04   0.6773928469560E-01
   102   0.13600000E+04   0.6733864281213E-01   0.3573801520670E-04   0.6730290479692E-01
   103   0.13733333E+04   0.6690772158405E-01   0.3541682227948E-04   0.6687230476177E-01
   104   0.13866667E+04   0.6648247939016E-01   0.3510151171227E-04   0.6644737787845E-01
   105   0.14000000E+04   0.6606281335309E-01   0.3479192152461E-04   0.6602802143157E-01
   106   0.14133333E+04   0.6564862028617E-01   0.3448789567122E-04   0.6561413239050E-01
   107   0.14266667E+04   0.6523980019597E-01   0.3418928377119E-04   0.6520561091220E-01
   108   0.14400000E+04   0.6483625520996E-01   0.3389594085203E-04   0.6480235926911E-01
   109   0.14533333E+04   0.6443788926659E-01   0.3360778307967E-04   0.6440428148351E-01
   110   0.14666667E+04   0.6404460776943E-01   0.3332455911386E-04   0.6401128321032E-01
   111   0.14800000E+04   0.6365631783004E-01   0.3304619966385E-04   0.6362327163038E-01
   112   0.14933333E+04   0.6327293036998E-01   0.3277257906631E-04   0.6324015779091E-01
   113   0.15066667E+04   0.6289435598147E-01   0.3250357597914E-04   0.6286185240549E-01
   114   0.15200000E+04   0.6252050850566E-01   0.3223907319642E-04   0.6248826943246E-01
   115   0.15333333E+04   0.6215130285336E-01   0.3197895747278E-04   0.6211932389589E-01
   116   0.15466667E+04   0.6178665567913E-01   0.3172311935667E-04   0.6175493255977E-01
   117   0.15600000E+04   0.6142648588044E-01   0.3147145303204E-04   0.6139501442741E-01
   118   0.15733333E+04   0.6107071419942E-01   0.3122388859096E-04   0.6103949031083E-01
   119   0.15866667E+04   0.6071926271294E-01   0.3098025975740E-04   0.6068828245318E-01
   120   0.16000000E+04   0.6037205509426E-01   0.3074050579336E-04   0.6034131458847E-01
   121   0.16133333E+04   0.6002901646232E-01   0.3050453397959E-04   0.5999851192834E-01
   122   0.16266667E+04   0.5969007428826E-01   0.3027225455130E-04   0.5965980203370E-01
   123   0.16400000E+04   0.5935515691744E-01   0.3004361334472E-04   0.5932511330410E-01
   124   0.16533333E+04   0.5902419412298E-01   0.2981845826933E-04   0.5899437566471E-01
   125   0.16666667E+04   0.5869711790724E-01   0.2959674303343E-04   0.5866752116420E-01
   126   0.16800000E+04   0.5837386121341E-01   0.2937838855953E-04   0.5834448282486E-01
   127   0.16933333E+04   0.5805435818647E-01   0.2916331819146E-04   0.5802519486828E-01
   128   0.17066667E+04   0.5773854514719E-01   0.2895145760198E-04   0.5770959368959E-01
   129   0.17200000E+04   0.5742635907332E-01   0.2874273470461E-04   0.5739761633861E-01
   130   0.17333333E+04   0.5711773828505E-01   0.2853707956940E-04   0.5708920120548E-01
   131   0.17466667E+04   0.5681262309559E-01   0.2833442434252E-04   0.5678428867124E-01
   132   0.17600000E+04   0.5651095434802E-01   0.2813470316941E-04   0.5648281964485E-01
   133   0.17733333E+04   0.5621267433126E-01   0.2793790330762E-04   0.5618473642795E-01
   134   0.17866667E+04   0.5591772693001E-01   0.2774385689845E-04   0.5588998307311E-01
   135   0.18000000E+04   0.5562605673873E-01   0.2755255848039E-04   0.5559850418025E-01
   136   0.18133333E+04   0.5533761002085E-01   0.2736394947872E-04   0.5531024607138E-01
   137   0.18266667E+04   0.5505233294201E-01   0.2717797298236E-04   0.5502515496903E-01
   138   0.18400000E+04   0.5476991270612E-01   0.2699457368490E-04   0.5474291813243E-01
   139   0.18533333E+04   0.5448984935674E-01   0.2681369782824E-04   0.5446303565891E-01
   140   0.18666667E+04   0.5421285417233E-01   0.2663529314848E-04   0.5418621887918E-01
   141   0.18800000E+04   0.5393886399832E-01   0.2645930882419E-04   0.5391240468949E-01
   142   0.18933333E+04   0.5366777310394E-01   0.2628569542670E-04   0.5364148740851E-01
   143   0.19066667E+04   0.5339959267286E-01   0.2611440487254E-04   0.5337347826799E-01
   144   0.19200000E+04   0.5313429010111E-01   0.2594539037776E-04   0.5310834471073E-01
   145   0.19333333E+04   0.5287177822245E-01   0.2577863622869E-04   0.5284599958622E-01
   146   0.19466667E+04   0.5261197031731E-01   0.2561403664664E-04   0.5258635628066E-01
   147   0.19600000E+04   0.5235490839595E-01   0.2545158025106E-04   0.5232945681570E-01
   148   0.19733333E+04   0.5210050843167E-01   0.2529122502876E-04   0.5207521720664E-01
   149   0.19866667E+04   0.5184868609817E-01   0.2513293006429E-04   0.5182355316811E-01
   150   0.20000000E+04   0.5159955555955E-01   0.2497665550414E-04   0.5157457890405E-01
   151   0.20133333E+04   0.5135289457636E-01   0.2482236252238E-04   0.5132807221384E-01
   152   0.20266667E+04   0.5110873535113E-01   0.2467004316253E-04   0.5108406530797E-01
   153   0.20400000E+04   0.5086710800414E-01   0.2451959905534E-04   0.5084258840508E-01
   154   0.20533333E+04   0.5062790589459E-01   0.2437102599084E-04   0.5060353486860E-01
   155   0.20666667E+04   0.5039109222242E-01   0.2422428892962E-04   0.5036686793349E-01
   156   0.20800000E+04   0.5015663183923E-01   0.2407935115696E-04   0.5013255248808E-01
   157   0.20933333E+04   0.4992448875116E-01   0.2393618440113E-04   0.4990055256676E-01
   158   0.21066667E+04   0.4969462877601E-01   0.2379475366996E-04   0.4967083402234E-01
   159   0.21200000E+04   0.4946701789344E-01   0.2365502726370E-04   0.4944336286618E-01
   160   0.21333333E+04   0.4924162369869E-01   0.2351697425431E-04   0.4921810672443E-01
   161   0.21466667E+04   0.4901841277084E-01   0.2338056446200E-04   0.4899503220637E-01
   162   0.21600000E+04   0.4879742084457E-01   0.2324576843269E-04   0.4877417507613E-01
   163   0.21733333E+04   0.4857854927458E-01   0.2311255741617E-04   0.4855543671717E-01
   164   0.21866667E+04   0.4836169959330E-01   0.2298090334516E-04   0.4833871868995E-01
   165   0.22000000E+04   0.4814701635767E-01   0.2285077881503E-04   0.4812416557886E-01
   166   0.22133333E+04   0.4792852070263E-01   0.2272215706433E-04   0.4790579854557E-01
   167   0.22266667E+04   0.4771788786168E-01   0.2259505561736E-04   0.4769529280606E-01
   168   0.22400000E+04   0.4750922629695E-01   0.2246935927183E-04   0.4748675693768E-01
   169   0.22533333E+04   0.4730254873771E-01   0.2234508921926E-04   0.4728020364849E-01
   170   0.22666667E+04   0.4709774772940E-01   0.2222222108245E-04   0.4707552550832E-01
   171   0.22800000E+04   0.4689483635736E-01   0.2210073103983E-04   0.4687273562632E-01
   172   0.22933333E+04   0.4669382774264E-01   0.2198059580962E-04   0.4667184714683E-01
   173   0.23066667E+04   0.4649468173622E-01   0.2186179263463E-04   0.4647281994359E-01
   174   0.23200000E+04   0.4629732180590E-01   0.2174429926743E-04   0.4627557750663E-01
   175   0.23333333E+04   0.4610170935009E-01   0.2162809395615E-04   0.4608008125614E-01
   176   0.23466667E+04   0.4590796262639E-01   0.2151315543068E-04   0.4588644947096E-01
   177   0.23600000E+04   0.4571585097243E-01   0.2139946288935E-04   0.4569445150954E-01
   178   0.23733333E+04   0.4552555618572E-01   0.2128699598606E-04   0.4550426918973E-01
   179   0.23866667E+04   0.4533691441151E-01   0.2117573481783E-04   0.4531573867669E-01
   180   0.24000000E+04   0.4514991508910E-01   0.2106565991274E-04   0.4512884942919E-01
   181   0.24133333E+04   0.4496458725669E-01   0.2095675221828E-04   0.4494363050447E-01
   182   0.24266667E+04   0.4478085832915E-01   0.2084899309007E-04   0.4476000933606E-01
   183   0.24400000E+04   0.4459875669906E-01   0.2074239075642E-04   0.4457801430831E-01
   184   0.24533333E+04   0.4441833768697E-01   0.2063687310600E-04   0.4439770081386E-01
   185   0.24666667E+04   0.4423935212156E-01   0.2053245049283E-04   0.4421881967107E-01
   186   0.24800000E+04   0.4406193157932E-01   0.2042910579640E-04   0.4404150247352E-01
   187   0.24933333E+04   0.4388613120423E-01   0.2032682225326E-04   0.4386580438198E-01
   188   0.25066667E+04   0.4371170471147E-01   0.2022558344772E-04   0.4369147912802E-01
   189   0.25200000E+04   0.4353888387202E-01   0.2012537330285E-04   0.4351875849871E-01
