#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.1000D-01   0.1000D-01
#    number density nb   [cm^-3]:   0.2391D+24   0.2391D+24
#    mass array mb         [amu]:   0.5486D-03   0.2518D+01
#    mass array mb         [keV]:   0.5110D+03   0.2346D+07
#    charge array zb            :  -0.1000D+01   0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.4000D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.2391D+24  0.1000D-01  0.1000D-01  0.2996D+01  0.2996D+01  0.1650D+01  0.4427D+00
# ab  =  0.5446E+02  0.2500E+06
# etab=  0.3160E+00  0.3160E+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
     0   0.10000000E-04   0.1026308083542E+03   0.1013766326169E+03   0.1254175737212E+01
     1   0.13333333E+02  -0.6814179711476E+00   0.7101962760227E-02  -0.6885199339078E+00
     2   0.26666667E+02  -0.8049390994389E+00   0.4067792369743E-02  -0.8090068918086E+00
     3   0.40000000E+02  -0.8171111619309E+00   0.2912653358961E-02  -0.8200238152899E+00
     4   0.53333333E+02  -0.7970133356024E+00   0.2290991329825E-02  -0.7993043269322E+00
     5   0.66666667E+02  -0.7301515892281E+00   0.1898672254640E-02  -0.7320502614828E+00
     6   0.80000000E+02  -0.6133262627126E+00   0.1626943017617E-02  -0.6149532057302E+00
     7   0.93333333E+02  -0.5202530752426E+00   0.1426827317472E-02  -0.5216799025600E+00
     8   0.10666667E+03  -0.4448799887834E+00   0.1272881868144E-02  -0.4461528706516E+00
     9   0.12000000E+03  -0.3739259140103E+00   0.1150526466060E-02  -0.3750764404764E+00
    10   0.13333333E+03  -0.3035868930913E+00   0.1050782244457E-02  -0.3046376753357E+00
    11   0.14666667E+03  -0.2354035075291E+00   0.9678046987359E-03  -0.2363713122278E+00
    12   0.16000000E+03  -0.1714741267997E+00   0.8976200102720E-03  -0.1723717468099E+00
    13   0.17333333E+03  -0.1129328480854E+00   0.8374314427151E-03  -0.1137702795281E+00
    14   0.18666667E+03  -0.6006977807492E-01   0.7852300896700E-03  -0.6085500816459E-01
    15   0.20000000E+03  -0.1271498433822E-01   0.7394338825718E-03  -0.1345441822079E-01
    16   0.21333333E+03   0.2949102244855E-01   0.6989435728564E-03   0.2879207887569E-01
    17   0.22666667E+03   0.6696831789318E-01   0.6628699820808E-03   0.6630544791110E-01
    18   0.24000000E+03   0.1001439715179E+00   0.6305153208219E-03   0.9951345619706E-01
    19   0.25333333E+03   0.1294321596815E+00   0.6013208755709E-03   0.1288308388059E+00
    20   0.26666667E+03   0.1552250658254E+00   0.5748377015365E-03   0.1546502281238E+00
    21   0.28000000E+03   0.1778894113391E+00   0.5506964684150E-03   0.1773387148707E+00
    22   0.29333333E+03   0.1977640832696E+00   0.5285950434679E-03   0.1972354882261E+00
    23   0.30666667E+03   0.2151596981249E+00   0.5082799700519E-03   0.2146514181548E+00
    24   0.32000000E+03   0.2303585228476E+00   0.4895390365725E-03   0.2298689838111E+00
    25   0.33333333E+03   0.2436150744033E+00   0.4721926917687E-03   0.2431428817115E+00
    26   0.34666667E+03   0.2567952326388E+00   0.4560885534620E-03   0.2563391440853E+00
    27   0.36000000E+03   0.2671131514062E+00   0.4410944779660E-03   0.2666720569282E+00
    28   0.37333333E+03   0.2759589759031E+00   0.4270977991458E-03   0.2755318781040E+00
    29   0.38666667E+03   0.2835059614627E+00   0.4140005542230E-03   0.2830919609085E+00
    30   0.40000000E+03   0.2899071205110E+00   0.4017168607445E-03   0.2895054036502E+00
    31   0.41333333E+03   0.2952974334859E+00   0.3901719150020E-03   0.2949072615709E+00
    32   0.42666667E+03   0.2997964346150E+00   0.3793000530011E-03   0.2994171345620E+00
    33   0.44000000E+03   0.3035092702821E+00   0.3690427066598E-03   0.3031402275754E+00
    34   0.45333333E+03   0.3065291820066E+00   0.3593483961103E-03   0.3061698336105E+00
    35   0.46666667E+03   0.3089382118483E+00   0.3501709633810E-03   0.3085880408849E+00
    36   0.48000000E+03   0.3108089349644E+00   0.3414699749785E-03   0.3104674649894E+00
    37   0.49333333E+03   0.3122053838492E+00   0.3332081805484E-03   0.3118721756686E+00
    38   0.50666667E+03   0.3131842262179E+00   0.3253526640601E-03   0.3128588735538E+00
    39   0.52000000E+03   0.3137953544634E+00   0.3178734501319E-03   0.3134774810132E+00
    40   0.53333333E+03   0.3140829418214E+00   0.3107442090083E-03   0.3137721976124E+00
    41   0.54666667E+03   0.3140859843824E+00   0.3039400966974E-03   0.3137820442857E+00
    42   0.56000000E+03   0.3138390326089E+00   0.2974388530877E-03   0.3135415937558E+00
    43   0.57333333E+03   0.3133725410064E+00   0.2912207875515E-03   0.3130813202188E+00
    44   0.58666667E+03   0.3127135007456E+00   0.2852670729315E-03   0.3124282336727E+00
    45   0.60000000E+03   0.3118857772939E+00   0.2795614527177E-03   0.3116062158412E+00
    46   0.61333333E+03   0.3109105644350E+00   0.2740878527958E-03   0.3106364765822E+00
    47   0.62666667E+03   0.3098065419522E+00   0.2688326728877E-03   0.3095377092793E+00
    48   0.64000000E+03   0.3085903487158E+00   0.2637826911340E-03   0.3083265660247E+00
    49   0.65333333E+03   0.3072766846373E+00   0.2589257189142E-03   0.3070177589184E+00
    50   0.66666667E+03   0.3058786128965E+00   0.2542512613546E-03   0.3056243616352E+00
    51   0.68000000E+03   0.3044076959816E+00   0.2497483717391E-03   0.3041579476098E+00
    52   0.69333333E+03   0.3028742498862E+00   0.2454079780743E-03   0.3026288419081E+00
    53   0.70666667E+03   0.3012873903670E+00   0.2412214879205E-03   0.3010461688791E+00
    54   0.72000000E+03   0.2996552250157E+00   0.2371803240497E-03   0.2994180446917E+00
    55   0.73333333E+03   0.2979849847882E+00   0.2332773356597E-03   0.2977517074526E+00
    56   0.74666667E+03   0.2962830469624E+00   0.2295050724045E-03   0.2960535418900E+00
    57   0.76000000E+03   0.2945551304917E+00   0.2258571582003E-03   0.2943292733335E+00
    58   0.77333333E+03   0.2928062865495E+00   0.2223277190366E-03   0.2925839588304E+00
    59   0.78666667E+03   0.2910410088770E+00   0.2189104328045E-03   0.2908220984442E+00
    60   0.80000000E+03   0.2892633073382E+00   0.2156002430692E-03   0.2890477070951E+00
    61   0.81333333E+03   0.2874767209822E+00   0.2123922864780E-03   0.2872643286957E+00
    62   0.82666667E+03   0.2856844144093E+00   0.2092814790531E-03   0.2854751329303E+00
    63   0.84000000E+03   0.2838891847582E+00   0.2062637548493E-03   0.2836829210033E+00
    64   0.85333333E+03   0.2820935137774E+00   0.2033345927514E-03   0.2818901791847E+00
    65   0.86666667E+03   0.2802996106497E+00   0.2004902697144E-03   0.2800991203800E+00
