#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.2000D+00   0.2000D+00
#    number density nb   [cm^-3]:   0.1000D+25   0.1000D+25
#    mass array mb         [amu]:   0.5486D-03   0.1007D+01
#    mass array mb         [keV]:   0.5110D+03   0.9383D+06
#    charge array zb            :  -0.1000D+01   0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.1000D+01
#    mass   [amu]:   0.1007D+01
#    mass   [keV]:   0.9383D+06
#    energy [keV]:   0.1200D+05
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+25  0.2000D+00  0.2000D+00  0.6849D-01  0.6849D-01  0.3689D+00  0.2070D-01
# ab  =  0.3268E+02  0.6000E+05
# etab=  0.4561E-01  0.4561E-01
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
     0   0.10000000E-04  -0.1459629348759E+02  -0.1426352420714E+02  -0.3327692804576E+00
     1   0.17142857E+01   0.3592839026326E-01   0.3096316978175E-01   0.4965220481508E-02
     2   0.34285714E+01   0.2646721492515E-01   0.1886793014667E-01   0.7599284778481E-02
     3   0.51428571E+01   0.2325100998782E-01   0.1373195727744E-01   0.9519052710383E-02
     4   0.68571429E+01   0.2198737579180E-01   0.1088193230477E-01   0.1110544348703E-01
     5   0.85714286E+01   0.2154622838175E-01   0.9059000820056E-02   0.1248722756169E-01
     6   0.10285714E+02   0.2151169834846E-01   0.7785191103928E-02   0.1372650724453E-01
     7   0.12000000E+02   0.2170041851328E-01   0.6841339181934E-02   0.1485907933134E-01
     8   0.13714286E+02   0.2201971631173E-01   0.6111899101723E-02   0.1590781721001E-01
     9   0.15428571E+02   0.2241846115413E-01   0.5530057236907E-02   0.1688840391722E-01
    10   0.17142857E+02   0.2286653987421E-01   0.5054395857196E-02   0.1781214401701E-01
    11   0.18857143E+02   0.2334530530521E-01   0.4657792117753E-02   0.1868751318745E-01
    12   0.20571429E+02   0.2384276031399E-01   0.4321706043956E-02   0.1952105427004E-01
    13   0.22285714E+02   0.2435098531585E-01   0.4033022309116E-02   0.2031796300673E-01
    14   0.24000000E+02   0.2486461800984E-01   0.3782193069327E-02   0.2108242494051E-01
    15   0.25714286E+02   0.2537998312555E-01   0.3562096795754E-02   0.2181788632979E-01
    16   0.27428571E+02   0.2589452967855E-01   0.3367310043811E-02   0.2252721963474E-01
    17   0.29142857E+02   0.2640647482369E-01   0.3193626203671E-02   0.2321284862002E-01
    18   0.30857143E+02   0.2691458394878E-01   0.3037731183991E-02   0.2387685276479E-01
    19   0.32571429E+02   0.2741799169438E-01   0.2896977145890E-02   0.2452101454849E-01
    20   0.34285714E+02   0.2791610578910E-01   0.2769221380590E-02   0.2514688440851E-01
    21   0.36000000E+02   0.2840854321272E-01   0.2652712012865E-02   0.2575583119986E-01
    22   0.37714286E+02   0.2882752290526E-01   0.2546000828654E-02   0.2628152207660E-01
    23   0.39428571E+02   0.2930014797193E-01   0.2447880634149E-02   0.2685226733778E-01
    24   0.41142857E+02   0.2976612440810E-01   0.2357336682912E-02   0.2740878772518E-01
    25   0.42857143E+02   0.3022543580541E-01   0.2273509740136E-02   0.2795192606528E-01
    26   0.44571429E+02   0.3067810115917E-01   0.2195666357838E-02   0.2848243480133E-01
    27   0.46285714E+02   0.3112419304824E-01   0.2123177840008E-02   0.2900101520824E-01
    28   0.48000000E+02   0.3156378485339E-01   0.2055500974127E-02   0.2950828387926E-01
    29   0.49714286E+02   0.3199697412602E-01   0.1992164487327E-02   0.3000480963869E-01
    30   0.51428571E+02   0.3242386883406E-01   0.1932757252570E-02   0.3049111158149E-01
    31   0.53142857E+02   0.3284458631296E-01   0.1876918897544E-02   0.3096766741542E-01
    32   0.54857143E+02   0.3325924782435E-01   0.1824332179310E-02   0.3143491564504E-01
    33   0.56571429E+02   0.3366797272991E-01   0.1774716894590E-02   0.3189325583532E-01
    34   0.58285714E+02   0.3407089722515E-01   0.1727824195852E-02   0.3234307302929E-01
    35   0.60000000E+02   0.3446811080838E-01   0.1683432666467E-02   0.3278467814192E-01
    36   0.61714286E+02   0.3485974678179E-01   0.1641344573626E-02   0.3321840220817E-01
    37   0.63428571E+02   0.3524594324787E-01   0.1601382280377E-02   0.3364456096750E-01
    38   0.65142857E+02   0.3562683362025E-01   0.1563386634296E-02   0.3406344698595E-01
    39   0.66857143E+02   0.3601776353176E-01   0.1527213697208E-02   0.3449054983455E-01
    40   0.68571429E+02   0.3638977978212E-01   0.1492733623558E-02   0.3489704615856E-01
    41   0.70285714E+02   0.3675694321134E-01   0.1459828473203E-02   0.3529711473814E-01
    42   0.72000000E+02   0.3711936678613E-01   0.1428391371196E-02   0.3569097541494E-01
    43   0.73714286E+02   0.3747715807906E-01   0.1398324854425E-02   0.3607883322464E-01
    44   0.75428571E+02   0.3783042340597E-01   0.1369539986886E-02   0.3646088341909E-01
    45   0.77142857E+02   0.3817926282801E-01   0.1341955281026E-02   0.3683730754698E-01
    46   0.78857143E+02   0.3852376665125E-01   0.1315496328520E-02   0.3720827032274E-01
    47   0.80571429E+02   0.3886404898658E-01   0.1290094585629E-02   0.3757395440095E-01
    48   0.82285714E+02   0.3920019375348E-01   0.1265687220619E-02   0.3793450653286E-01
    49   0.84000000E+02   0.3953228988661E-01   0.1242216149106E-02   0.3829007373750E-01
    50   0.85714286E+02   0.3986042554344E-01   0.1219627719870E-02   0.3864079782357E-01
    51   0.87428571E+02   0.4018468311824E-01   0.1197872462077E-02   0.3898681065617E-01
    52   0.89142857E+02   0.4050514505421E-01   0.1176904577408E-02   0.3932824047680E-01
    53   0.90857143E+02   0.4082189827747E-01   0.1156681463583E-02   0.3966521681388E-01
    54   0.92571429E+02   0.4113500303720E-01   0.1137163614122E-02   0.3999783942308E-01
    55   0.94285714E+02   0.4144453495137E-01   0.1118314336256E-02   0.4032622061511E-01
    56   0.96000000E+02   0.4175057933211E-01   0.1100099512409E-02   0.4065047981970E-01
    57   0.97714286E+02   0.4205319775978E-01   0.1082487106410E-02   0.4097071065337E-01
    58   0.99428571E+02   0.4235245878219E-01   0.1065447418542E-02   0.4128701136365E-01
    59   0.10114286E+03   0.4264842653477E-01   0.1048952504204E-02   0.4159947403056E-01
    60   0.10285714E+03   0.4294115700737E-01   0.1032976589784E-02   0.4190818041759E-01
    61   0.10457143E+03   0.4323072679152E-01   0.1017494944675E-02   0.4221323184685E-01
    62   0.10628571E+03   0.4351718660384E-01   0.1002484870542E-02   0.4251470173330E-01
    63   0.10800000E+03   0.4380059403591E-01   0.9879248736030E-03   0.4281266916230E-01
    64   0.10971429E+03   0.4408100465163E-01   0.9737948510021E-03   0.4310720980063E-01
    65   0.11142857E+03   0.4435847425237E-01   0.9600756441085E-03   0.4339839860826E-01
    66   0.11314286E+03   0.4463305324131E-01   0.9467494516931E-03   0.4368630378962E-01
    67   0.11485714E+03   0.4490479272608E-01   0.9337994402153E-03   0.4397099328586E-01
    68   0.11657143E+03   0.4517374191623E-01   0.9212097087188E-03   0.4425253220751E-01
    69   0.11828571E+03   0.4543994843568E-01   0.9089652403516E-03   0.4453098319533E-01
    70   0.12000000E+03   0.4570345853629E-01   0.8970517939694E-03   0.4480640674232E-01
    71   0.12171429E+03   0.4596430448446E-01   0.8854561293494E-03   0.4507884835511E-01
    72   0.12342857E+03   0.4622255394368E-01   0.8741654630989E-03   0.4534838848058E-01
    73   0.12514286E+03   0.4647823607532E-01   0.8631677943601E-03   0.4561506828096E-01
    74   0.12685714E+03   0.4673139205371E-01   0.8524515798535E-03   0.4587894047386E-01
    75   0.12857143E+03   0.4698205972184E-01   0.8420063101685E-03   0.4614005341167E-01
    76   0.13028571E+03   0.4723027850693E-01   0.8318215014095E-03   0.4639845700552E-01
    77   0.13200000E+03   0.4747608335882E-01   0.8218875003181E-03   0.4665419585850E-01
    78   0.13371429E+03   0.4771951015950E-01   0.8121951228636E-03   0.4690731503663E-01
    79   0.13542857E+03   0.4796059261138E-01   0.8027353714203E-03   0.4715785723996E-01
    80   0.13714286E+03   0.4819936367105E-01   0.7935001231638E-03   0.4740586354788E-01
    81   0.13885714E+03   0.4843585295925E-01   0.7844811847005E-03   0.4765137177455E-01
    82   0.14057143E+03   0.4867008584347E-01   0.7756710293115E-03   0.4789441481415E-01
    83   0.14228571E+03   0.4890210343808E-01   0.7670623757566E-03   0.4813504106233E-01
    84   0.14400000E+03   0.4913192710322E-01   0.7586484815892E-03   0.4837327862163E-01
    85   0.14571429E+03   0.4935958307934E-01   0.7504224475013E-03   0.4860916063184E-01
    86   0.14742857E+03   0.4958474855062E-01   0.7423781821138E-03   0.4884237036851E-01
    87   0.14914286E+03   0.4980813625620E-01   0.7345097485538E-03   0.4907362650764E-01
    88   0.15085714E+03   0.5002942641875E-01   0.7268111045317E-03   0.4930261531422E-01
    89   0.15257143E+03   0.5024863312257E-01   0.7192769237224E-03   0.4952935619885E-01
    90   0.15428571E+03   0.5046579148637E-01   0.7119020494769E-03   0.4975388943689E-01
    91   0.15600000E+03   0.5068091147911E-01   0.7046811434013E-03   0.4997623033571E-01
    92   0.15771429E+03   0.5089401083398E-01   0.6976095613920E-03   0.5019640127258E-01
    93   0.15942857E+03   0.5110510536833E-01   0.6906826853515E-03   0.5041442268298E-01
    94   0.16114286E+03   0.5131420914398E-01   0.6838960203137E-03   0.5063031312367E-01
    95   0.16285714E+03   0.5152133523173E-01   0.6772452728541E-03   0.5084408995888E-01
    96   0.16457143E+03   0.5172649466838E-01   0.6707263641252E-03   0.5105576830425E-01
    97   0.16628571E+03   0.5192969655032E-01   0.6643354236229E-03   0.5126536112669E-01
    98   0.16800000E+03   0.5213095145928E-01   0.6580686337060E-03   0.5147288282558E-01
    99   0.16971429E+03   0.5233026490857E-01   0.6519224248899E-03   0.5167834248368E-01
   100   0.17142857E+03   0.5252764261448E-01   0.6458933298195E-03   0.5188174928467E-01
   101   0.17314286E+03   0.5272308934252E-01   0.6399778374144E-03   0.5208311150511E-01
   102   0.17485714E+03   0.5291659117318E-01   0.6341729615012E-03   0.5228241821168E-01
   103   0.17657143E+03   0.5310817824216E-01   0.6284754752282E-03   0.5247970276693E-01
   104   0.17828571E+03   0.5329783546078E-01   0.6228822961634E-03   0.5267495316462E-01
   105   0.18000000E+03   0.5348556021254E-01   0.6173907748605E-03   0.5286816943768E-01
   106   0.18171429E+03   0.5367134762524E-01   0.6119979088052E-03   0.5305934971643E-01
   107   0.18342857E+03   0.5385519155745E-01   0.6067012614064E-03   0.5324849029605E-01
   108   0.18514286E+03   0.5403708405023E-01   0.6014980284530E-03   0.5343558602178E-01
   109   0.18685714E+03   0.5421701610958E-01   0.5963859530074E-03   0.5362063015657E-01
   110   0.18857143E+03   0.5439497562038E-01   0.5913624231807E-03   0.5380361319720E-01
   111   0.19028571E+03   0.5457094950539E-01   0.5864252392298E-03   0.5398452426616E-01
   112   0.19200000E+03   0.5474492318817E-01   0.5815722818622E-03   0.5416335090631E-01
   113   0.19371429E+03   0.5491687938767E-01   0.5768011665032E-03   0.5434007822117E-01
   114   0.19542857E+03   0.5508680004808E-01   0.5721099800812E-03   0.5451469006800E-01
   115   0.19714286E+03   0.5525466518053E-01   0.5674966916439E-03   0.5468716848889E-01
   116   0.19885714E+03   0.5542044320999E-01   0.5629593031462E-03   0.5485748390684E-01
   117   0.20057143E+03   0.5558412907590E-01   0.5584959919129E-03   0.5502563308398E-01
   118   0.20228571E+03   0.5574568901588E-01   0.5541048853945E-03   0.5519158413048E-01
   119   0.20400000E+03   0.5590509629595E-01   0.5497842129054E-03   0.5535531208304E-01
   120   0.20571429E+03   0.5606232257354E-01   0.5455323064130E-03   0.5551679026713E-01
   121   0.20742857E+03   0.5621734003321E-01   0.5413475791920E-03   0.5567599245402E-01
   122   0.20914286E+03   0.5637011716597E-01   0.5372284147480E-03   0.5583288875122E-01
   123   0.21085714E+03   0.5652062308669E-01   0.5331732158817E-03   0.5598744987081E-01
   124   0.21257143E+03   0.5666881673660E-01   0.5291804743272E-03   0.5613963626227E-01
   125   0.21428571E+03   0.5681468478566E-01   0.5252487823288E-03   0.5628943600333E-01
   126   0.21600000E+03   0.5695818484067E-01   0.5213767759618E-03   0.5643680806470E-01
   127   0.21771429E+03   0.5709928411536E-01   0.5175630814078E-03   0.5658172103395E-01
   128   0.21942857E+03   0.5723794942117E-01   0.5138063200334E-03   0.5672414310114E-01
   129   0.22114286E+03   0.5737415084148E-01   0.5101051442258E-03   0.5686404569726E-01
   130   0.22285714E+03   0.5750785745290E-01   0.5064585438010E-03   0.5700139890910E-01
   131   0.22457143E+03   0.5763904101143E-01   0.5028651575167E-03   0.5713617585391E-01
   132   0.22628571E+03   0.5776767299226E-01   0.4993238026184E-03   0.5726834918964E-01
   133   0.22800000E+03   0.5789373002273E-01   0.4958333773691E-03   0.5739789664536E-01
   134   0.22971429E+03   0.5801719149352E-01   0.4923928301796E-03   0.5752479866334E-01
   135   0.23142857E+03   0.5813803965051E-01   0.4890010078762E-03   0.5764903864264E-01
   136   0.23314286E+03   0.5825626255161E-01   0.4856569087221E-03   0.5777060564289E-01
   137   0.23485714E+03   0.5837185244440E-01   0.4823595610814E-03   0.5788949288332E-01
   138   0.23657143E+03   0.5848480666498E-01   0.4791079072577E-03   0.5800569875772E-01
   139   0.23828571E+03   0.5859511547057E-01   0.4759010302565E-03   0.5811921444031E-01
   140   0.24000000E+03   0.5870282268836E-01   0.4727380405182E-03   0.5823008464785E-01
   141   0.24171429E+03   0.5880793380939E-01   0.4696179607433E-03   0.5833831584864E-01
   142   0.24342857E+03   0.5891047840516E-01   0.4665399414904E-03   0.5844393846367E-01
   143   0.24514286E+03   0.5901049650675E-01   0.4635031846672E-03   0.5854699332209E-01
   144   0.24685714E+03   0.5910803757283E-01   0.4605067763545E-03   0.5864753079648E-01
   145   0.24857143E+03   0.5920316513350E-01   0.4575499449264E-03   0.5874561518858E-01
   146   0.25028571E+03   0.5929595218927E-01   0.4546319418669E-03   0.5884132024740E-01
   147   0.25200000E+03   0.5938648468440E-01   0.4517519263970E-03   0.5893473275800E-01
   148   0.25371429E+03   0.5947486439816E-01   0.4489091894079E-03   0.5902595520876E-01
   149   0.25542857E+03   0.5956120371270E-01   0.4461029455587E-03   0.5911510076714E-01
   150   0.25714286E+03   0.5964562980370E-01   0.4433326428605E-03   0.5920229716084E-01
   151   0.25885714E+03   0.5972828468797E-01   0.4405974610170E-03   0.5928768722695E-01
   152   0.26057143E+03   0.5980932374750E-01   0.4378967578291E-03   0.5937142698967E-01
   153   0.26228571E+03   0.5988891562717E-01   0.4352299261809E-03   0.5945368570099E-01
   154   0.26400000E+03   0.5996724237051E-01   0.4325962509420E-03   0.5953464611957E-01
   155   0.26571429E+03   0.6004448771664E-01   0.4299951453616E-03   0.5961449257128E-01
   156   0.26742857E+03   0.6012087866765E-01   0.4274259454813E-03   0.5969345272217E-01
   157   0.26914286E+03   0.6019662118093E-01   0.4248882114624E-03   0.5977173296947E-01
   158   0.27085714E+03   0.6027193951832E-01   0.4223812336451E-03   0.5984955828467E-01
   159   0.27257143E+03   0.6034706619475E-01   0.4199044933922E-03   0.5992716170136E-01
   160   0.27428571E+03   0.6042223814347E-01   0.4174574732372E-03   0.6000478067023E-01
   161   0.27600000E+03   0.6049769592935E-01   0.4150395072823E-03   0.6008265642206E-01
   162   0.27771429E+03   0.6057368114164E-01   0.4126502843900E-03   0.6016103085725E-01
   163   0.27942857E+03   0.6065043328520E-01   0.4102890595763E-03   0.6024014422563E-01
   164   0.28114286E+03   0.6072818858151E-01   0.4079555454790E-03   0.6032023303603E-01
   165   0.28285714E+03   0.6080716584688E-01   0.4056491277221E-03   0.6040151671916E-01
   166   0.28457143E+03   0.6088760870069E-01   0.4033693651497E-03   0.6048423933554E-01
   167   0.28628571E+03   0.6096971613998E-01   0.4011157370538E-03   0.6056860040293E-01
   168   0.28800000E+03   0.6105368482993E-01   0.3988879396232E-03   0.6065479689031E-01
   169   0.28971429E+03   0.6113969580794E-01   0.3966854042937E-03   0.6074301040365E-01
   170   0.29142857E+03   0.6122791365341E-01   0.3945077237921E-03   0.6083340592961E-01
   171   0.29314286E+03   0.6131848302580E-01   0.3923544349344E-03   0.6092612859087E-01
   172   0.29485714E+03   0.6141152846404E-01   0.3902252648077E-03   0.6102130319923E-01
   173   0.29657143E+03   0.6150715372511E-01   0.3881196279982E-03   0.6111903409711E-01
   174   0.29828571E+03   0.6160544010877E-01   0.3860372767070E-03   0.6121940283206E-01
   175   0.30000000E+03   0.6170644685071E-01   0.3839777678113E-03   0.6132246908290E-01
   176   0.30171429E+03   0.6181020906769E-01   0.3819407589557E-03   0.6142826830874E-01
   177   0.30342857E+03   0.6191674149644E-01   0.3799257559714E-03   0.6153681574047E-01
   178   0.30514286E+03   0.6202603641284E-01   0.3779325449804E-03   0.6164810386786E-01
   179   0.30685714E+03   0.6213806540044E-01   0.3759607156059E-03   0.6176210468484E-01
   180   0.30857143E+03   0.6225278300082E-01   0.3740098685296E-03   0.6187877313229E-01
   181   0.31028571E+03   0.6237011492222E-01   0.3720798070587E-03   0.6199803511516E-01
   182   0.31200000E+03   0.6248996142496E-01   0.3701700812615E-03   0.6211979134370E-01
   183   0.31371429E+03   0.6261225979694E-01   0.3682803940476E-03   0.6224397940289E-01
   184   0.31542857E+03   0.6273687826231E-01   0.3664103833786E-03   0.6237046787894E-01
   185   0.31714286E+03   0.6286368969861E-01   0.3645598777897E-03   0.6249912982082E-01
   186   0.31885714E+03   0.6299255866660E-01   0.3627283969221E-03   0.6262983026967E-01
   187   0.32057143E+03   0.6312333955108E-01   0.3609157868525E-03   0.6276242376422E-01
   188   0.32228571E+03   0.6325587955928E-01   0.3591217005870E-03   0.6289675785869E-01
